id,ans,question,a),b),c),d),e),year,sec,num,diff,blanks
49,e,Officials charged that the bakery had engaged in _____ practices by misleading consumers about the nutritional value of certain products.,Officials charged that the bakery had engaged in legitimate practices by misleading consumers about the nutritional value of certain products.,Officials charged that the bakery had engaged in exacting practices by misleading consumers about the nutritional value of certain products.,Officials charged that the bakery had engaged in intelligible practices by misleading consumers about the nutritional value of certain products.,Officials charged that the bakery had engaged in inordinate practices by misleading consumers about the nutritional value of certain products.,Officials charged that the bakery had engaged in deceptive practices by misleading consumers about the nutritional value of certain products.,2003,4,1,1,1
50,a,"As a young physics instructor, Richard Feynman discovered that he had the gift of sharing his _____ his subject and making that excitement _____.","As a young physics instructor, Richard Feynman discovered that he had the gift of sharing his passion for his subject and making that excitement contagious.","As a young physics instructor, Richard Feynman discovered that he had the gift of sharing his knowledge of his subject and making that excitement inaudible.","As a young physics instructor, Richard Feynman discovered that he had the gift of sharing his contempt for his subject and making that excitement praiseworthy.","As a young physics instructor, Richard Feynman discovered that he had the gift of sharing his propensity for his subject and making that excitement futile.","As a young physics instructor, Richard Feynman discovered that he had the gift of sharing his commitment to his subject and making that excitement impersonal.",2003,4,2,2,2
51,d,"Even after hungrily devouring their entire lunch, the children were still _____ and clamored for more.","Even after hungrily devouring their entire lunch, the children were still scrupulous and clamored for more.","Even after hungrily devouring their entire lunch, the children were still innocuous and clamored for more.","Even after hungrily devouring their entire lunch, the children were still remorseful and clamored for more.","Even after hungrily devouring their entire lunch, the children were still ravenous and clamored for more.","Even after hungrily devouring their entire lunch, the children were still compliant and clamored for more.",2003,4,3,2,1
52,b,"Some entertainers, their egos inflated by celebrity, see themselves as _____ figures to whom ordinary moral _____ do not necessarily apply.","Some entertainers, their egos inflated by celebrity, see themselves as penitent figures to whom ordinary moral rules do not necessarily apply.","Some entertainers, their egos inflated by celebrity, see themselves as privileged figures to whom ordinary moral constraints do not necessarily apply.","Some entertainers, their egos inflated by celebrity, see themselves as pedagogical figures to whom ordinary moral enticements do not necessarily apply.","Some entertainers, their egos inflated by celebrity, see themselves as redundant figures to whom ordinary moral conventions do not necessarily apply.","Some entertainers, their egos inflated by celebrity, see themselves as gifted figures to whom ordinary moral benefits do not necessarily apply.",2003,4,4,2,2
53,e,"A story’s theme is sometimes _____, that is, stated directly by the author, but more often it is _____.","A story’s theme is sometimes obvious, that is, stated directly by the author, but more often it is indisputable.","A story’s theme is sometimes capricious, that is, stated directly by the author, but more often it is dramatic.","A story’s theme is sometimes convoluted, that is, stated directly by the author, but more often it is simple.","A story’s theme is sometimes enigmatic, that is, stated directly by the author, but more often it is veiled.","A story’s theme is sometimes explicit, that is, stated directly by the author, but more often it is implied.",2003,4,5,3,2
54,d,"The biologists who breed California condors jokingly refer to the outdoor _____, the enclosures that house the birds, as ""condorminiums.""","The biologists who breed California condors jokingly refer to the outdoor arboretums, the enclosures that house the birds, as ""condorminiums.""","The biologists who breed California condors jokingly refer to the outdoor aquariums, the enclosures that house the birds, as ""condorminiums.""","The biologists who breed California condors jokingly refer to the outdoor depots, the enclosures that house the birds, as ""condorminiums.""","The biologists who breed California condors jokingly refer to the outdoor aviaries, the enclosures that house the birds, as ""condorminiums.""","The biologists who breed California condors jokingly refer to the outdoor kennels, the enclosures that house the birds, as ""condorminiums.""",2003,4,6,3,1
55,a,New York is a cosmopolitan city; its numerous newspapers in many languages reflect its _____ population.,New York is a cosmopolitan city; its numerous newspapers in many languages reflect its polyglot population.,New York is a cosmopolitan city; its numerous newspapers in many languages reflect its insular population.,New York is a cosmopolitan city; its numerous newspapers in many languages reflect its bemused population.,New York is a cosmopolitan city; its numerous newspapers in many languages reflect its vapid population.,New York is a cosmopolitan city; its numerous newspapers in many languages reflect its homogeneous population.,2003,4,7,3,1
56,e,"If people continually suppress their impulse to complain, whether the vexation is _____ or grave, they will appear to be automatons, _____ of feeling.","If people continually suppress their impulse to complain, whether the vexation is fluid or grave, they will appear to be automatons, defined by of feeling.","If people continually suppress their impulse to complain, whether the vexation is severe or grave, they will appear to be automatons, bereft of of feeling.","If people continually suppress their impulse to complain, whether the vexation is deserving or grave, they will appear to be automatons, incapable of of feeling.","If people continually suppress their impulse to complain, whether the vexation is frivolous or grave, they will appear to be automatons, consumed by of feeling.","If people continually suppress their impulse to complain, whether the vexation is trivial or grave, they will appear to be automatons, devoid of of feeling.",2003,4,8,4,2
57,e,Louisa May Alcott’s _____ the philosophical brilliance of her father’s intellect was _____ by her impatience with his unworldliness.,Louisa May Alcott’s exasperation with the philosophical brilliance of her father’s intellect was contradicted by her impatience with his unworldliness.,Louisa May Alcott’s concealment of the philosophical brilliance of her father’s intellect was supplanted by her impatience with his unworldliness.,Louisa May Alcott’s respect for the philosophical brilliance of her father’s intellect was augmented by her impatience with his unworldliness.,Louisa May Alcott’s rebellion against the philosophical brilliance of her father’s intellect was qualified by her impatience with his unworldliness.,Louisa May Alcott’s reverence for the philosophical brilliance of her father’s intellect was tempered by her impatience with his unworldliness.,2003,4,9,5,2
58,a,The critics reacted to the new book with enthusiasm: not one of their reviews was _____.,The critics reacted to the new book with enthusiasm: not one of their reviews was derogatory.,The critics reacted to the new book with enthusiasm: not one of their reviews was professional.,The critics reacted to the new book with enthusiasm: not one of their reviews was episodic.,The critics reacted to the new book with enthusiasm: not one of their reviews was didactic.,The critics reacted to the new book with enthusiasm: not one of their reviews was unsolicited.,2004,2,1,1,1
59,b,"Marie Curie’s more _____ achievements often _____ the contributions of her daughter, Irene Joliet-Curie, even though each woman won a Nobel Prize for Chemistry.","Marie Curie’s more perplexing achievements often clarify the contributions of her daughter, Irene Joliet-Curie, even though each woman won a Nobel Prize for Chemistry.","Marie Curie’s more famous achievements often overshadow the contributions of her daughter, Irene Joliet-Curie, even though each woman won a Nobel Prize for Chemistry.","Marie Curie’s more pioneering achievements often duplicate the contributions of her daughter, Irene Joliet-Curie, even though each woman won a Nobel Prize for Chemistry.","Marie Curie’s more neglected achievements often invalidate the contributions of her daughter, Irene Joliet-Curie, even though each woman won a Nobel Prize for Chemistry.","Marie Curie’s more inspiring achievements often complement the contributions of her daughter, Irene Joliet-Curie, even though each woman won a Nobel Prize for Chemistry.",2004,2,2,2,2
60,b,"Oddly, a mere stranger managed to _____ Joanna's disappointment, while even her closest friends remained oblivious.","Oddly, a mere stranger managed to arouse Joanna's disappointment, while even her closest friends remained oblivious.","Oddly, a mere stranger managed to perceive Joanna's disappointment, while even her closest friends remained oblivious.","Oddly, a mere stranger managed to warrant Joanna's disappointment, while even her closest friends remained oblivious.","Oddly, a mere stranger managed to discredit Joanna's disappointment, while even her closest friends remained oblivious.","Oddly, a mere stranger managed to misrepresent Joanna's disappointment, while even her closest friends remained oblivious.",2004,2,3,2,1
61,e,"Although they never referred to it _____, the two actors had a _____ agreement never to mention the film that had almost ended their careers.","Although they never referred to it vaguely, the two actors had a clandestine agreement never to mention the film that had almost ended their careers.","Although they never referred to it systematically, the two actors had a presumptuous agreement never to mention the film that had almost ended their careers.","Although they never referred to it longingly, the two actors had a haphazard agreement never to mention the film that had almost ended their careers.","Although they never referred to it obliquely, the two actors had a verbose agreement never to mention the film that had almost ended their careers.","Although they never referred to it directly, the two actors had a tacit agreement never to mention the film that had almost ended their careers.",2004,2,4,2,2
62,b,Company employees were quite pleased with their efficient new work area because it provided an ideal climate _____ increased productivity.,Company employees were quite pleased with their efficient new work area because it provided an ideal climate inimical to increased productivity.,Company employees were quite pleased with their efficient new work area because it provided an ideal climate conducive to increased productivity.,Company employees were quite pleased with their efficient new work area because it provided an ideal climate shadowed by increased productivity.,Company employees were quite pleased with their efficient new work area because it provided an ideal climate stifled by increased productivity.,Company employees were quite pleased with their efficient new work area because it provided an ideal climate precipitated by increased productivity.,2004,2,5,3,1
63,e,Crumbling masonry is _____ of the _____ that long exposure to the elements causes to architecture.,Crumbling masonry is refutation of the damage that long exposure to the elements causes to architecture.,Crumbling masonry is reflective of the uniformity that long exposure to the elements causes to architecture.,Crumbling masonry is indicative of the amelioration that long exposure to the elements causes to architecture.,Crumbling masonry is denial of the weathering that long exposure to the elements causes to architecture.,Crumbling masonry is evidence of the havoc that long exposure to the elements causes to architecture.,2004,2,6,3,2
64,c,At bedtime the security blanket served the child as _____ with seemingly magical powers to ward off frightening phantasms.,At bedtime the security blanket served the child as an arsenal with seemingly magical powers to ward off frightening phantasms.,At bedtime the security blanket served the child as an incentive with seemingly magical powers to ward off frightening phantasms.,At bedtime the security blanket served the child as a talisman with seemingly magical powers to ward off frightening phantasms.,At bedtime the security blanket served the child as a trademark with seemingly magical powers to ward off frightening phantasms.,At bedtime the security blanket served the child as a harbinger with seemingly magical powers to ward off frightening phantasms.,2004,2,7,4,1
65,c,"Military victories brought tributes to the Aztec empire and, concomitantly, made it _____, for Aztecs increasingly lived off the vanquished.","Military victories brought tributes to the Aztec empire and, concomitantly, made it indecisive, for Aztecs increasingly lived off the vanquished.","Military victories brought tributes to the Aztec empire and, concomitantly, made it pragmatic, for Aztecs increasingly lived off the vanquished.","Military victories brought tributes to the Aztec empire and, concomitantly, made it parasitic, for Aztecs increasingly lived off the vanquished.","Military victories brought tributes to the Aztec empire and, concomitantly, made it beneficent, for Aztecs increasingly lived off the vanquished.","Military victories brought tributes to the Aztec empire and, concomitantly, made it hospitable, for Aztecs increasingly lived off the vanquished.",2004,2,8,5,1
66,c,"Unlike sedentary people, _____ often feel a sense of rootlessness instigated by the very traveling that defines them.","Unlike sedentary people, athletes often feel a sense of rootlessness instigated by the very traveling that defines them.","Unlike sedentary people, lobbyists often feel a sense of rootlessness instigated by the very traveling that defines them.","Unlike sedentary people, itinerants often feel a sense of rootlessness instigated by the very traveling that defines them.","Unlike sedentary people, dilettantes often feel a sense of rootlessness instigated by the very traveling that defines them.","Unlike sedentary people, idealists often feel a sense of rootlessness instigated by the very traveling that defines them.",2004,2,9,4,1
67,e,"The researchers were _____ in recording stories of the town's African American community during the Depression, preserving even the smallest details.","The researchers were obstreperous in recording stories of the town's African American community during the Depression, preserving even the smallest details.","The researchers were apprehensive in recording stories of the town's African American community during the Depression, preserving even the smallest details.","The researchers were compensatory in recording stories of the town's African American community during the Depression, preserving even the smallest details.","The researchers were radicalized in recording stories of the town's African American community during the Depression, preserving even the smallest details.","The researchers were painstaking in recording stories of the town's African American community during the Depression, preserving even the smallest details.",2004,2,10,5,1
68,c,"With scant rainfall and a history of _____, the country is one of the world's most arid.","With scant rainfall and a history of monsoons, the country is one of the world's most arid.","With scant rainfall and a history of farming, the country is one of the world's most arid.","With scant rainfall and a history of drought, the country is one of the world's most arid.","With scant rainfall and a history of manufacturing, the country is one of the world's most arid.","With scant rainfall and a history of conservation, the country is one of the world's most arid.",2004,5,1,1,1
69,e,"The three designers _____ the new project, _____ their individual talents and many years of experience.","The three designers boycotted the new project, brandishing their individual talents and many years of experience.","The three designers commended the new project, belittling their individual talents and many years of experience.","The three designers agonized over the new project, compensating their individual talents and many years of experience.","The three designers quarreled over the new project, combining their individual talents and many years of experience.","The three designers collaborated on the new project, pooling their individual talents and many years of experience.",2004,5,2,2,2
70,a,"Scratching, though a useful self-remedy for an occasional itch, can _____ a problem by damaging the skin if performed too _____.","Scratching, though a useful self-remedy for an occasional itch, can exacerbate a problem by damaging the skin if performed too vigorously.","Scratching, though a useful self-remedy for an occasional itch, can cure a problem by damaging the skin if performed too carefully.","Scratching, though a useful self-remedy for an occasional itch, can worsen a problem by damaging the skin if performed too refreshingly.","Scratching, though a useful self-remedy for an occasional itch, can clarify a problem by damaging the skin if performed too abrasively.","Scratching, though a useful self-remedy for an occasional itch, can exonerate a problem by damaging the skin if performed too violently.",2004,5,3,2,2
71,b,Climate models do not yield _____ forecasts of what the future will bring; such models serve only as a clouded crystal ball in which a range of _____ possibilities can be glimpsed.,Climate models do not yield meteorological forecasts of what the future will bring; such models serve only as a clouded crystal ball in which a range of discarded possibilities can be glimpsed.,Climate models do not yield definitive forecasts of what the future will bring; such models serve only as a clouded crystal ball in which a range of plausible possibilities can be glimpsed.,Climate models do not yield practical forecasts of what the future will bring; such models serve only as a clouded crystal ball in which a range of impeccable possibilities can be glimpsed.,Climate models do not yield temporal forecasts of what the future will bring; such models serve only as a clouded crystal ball in which a range of scientific possibilities can be glimpsed.,Climate models do not yield conventional forecasts of what the future will bring; such models serve only as a clouded crystal ball in which a range of forgotten possibilities can be glimpsed.,2004,5,4,3,2
72,c,"To her great relief, Jennifer found that wearing sunglasses in bright sunlight helped to _____ her headaches.","To her great relief, Jennifer found that wearing sunglasses in bright sunlight helped to ascertain her headaches.","To her great relief, Jennifer found that wearing sunglasses in bright sunlight helped to dislocate her headaches.","To her great relief, Jennifer found that wearing sunglasses in bright sunlight helped to mitigate her headaches.","To her great relief, Jennifer found that wearing sunglasses in bright sunlight helped to extend her headaches.","To her great relief, Jennifer found that wearing sunglasses in bright sunlight helped to propagate her headaches.",2004,5,5,3,1
73,e,The cellist Yo-Yo Ma performs both classical and contemporary works; he is honored both as an active _____ of the new and as _____ interpreter of the old.,The cellist Yo-Yo Ma performs both classical and contemporary works; he is honored both as an active excluder of the new and as a disciplined interpreter of the old.,The cellist Yo-Yo Ma performs both classical and contemporary works; he is honored both as an active reviler of the new and as an unparalleled interpreter of the old.,The cellist Yo-Yo Ma performs both classical and contemporary works; he is honored both as an active disparager of the new and as a pathetic interpreter of the old.,The cellist Yo-Yo Ma performs both classical and contemporary works; he is honored both as an active champion of the new and as an inadequate interpreter of the old.,The cellist Yo-Yo Ma performs both classical and contemporary works; he is honored both as an active proponent of the new and as an incomparable interpreter of the old.,2004,5,6,3,2
74,e,The _____ of the program charged with developing a revolutionary reactor based on nuclear fusion confidently predicted that there would soon be proof of the reactor’s _____.,The directors of the program charged with developing a revolutionary reactor based on nuclear fusion confidently predicted that there would soon be proof of the reactor’s redundancy.,The adversaries of the program charged with developing a revolutionary reactor based on nuclear fusion confidently predicted that there would soon be proof of the reactor’s profitability.,The originators of the program charged with developing a revolutionary reactor based on nuclear fusion confidently predicted that there would soon be proof of the reactor’s futility.,The critics of the program charged with developing a revolutionary reactor based on nuclear fusion confidently predicted that there would soon be proof of the reactor’s efficiency.,The advocates of the program charged with developing a revolutionary reactor based on nuclear fusion confidently predicted that there would soon be proof of the reactor’s feasibility.,2004,5,7,4,2
75,d,"Despite his frequent shifting of allegiance, Johnson is not a flagrant _____, but he is nonetheless a striking specimen of moral _____.","Despite his frequent shifting of allegiance, Johnson is not a flagrant novice, but he is nonetheless a striking specimen of moral excellence.","Despite his frequent shifting of allegiance, Johnson is not a flagrant malefactor, but he is nonetheless a striking specimen of moral earnestness.","Despite his frequent shifting of allegiance, Johnson is not a flagrant idealist, but he is nonetheless a striking specimen of moral ignorance.","Despite his frequent shifting of allegiance, Johnson is not a flagrant opportunist, but he is nonetheless a striking specimen of moral equivocation.","Despite his frequent shifting of allegiance, Johnson is not a flagrant paragon, but he is nonetheless a striking specimen of moral immaturity.",2004,5,8,5,2
76,b,"Through a series of _____, Professor Ju?rez presented a dramatic narrative that portrayed life in the ancient Mayan city.","Through a series of conundrums, Professor Ju?rez presented a dramatic narrative that portrayed life in the ancient Mayan city.","Through a series of vignettes, Professor Ju?rez presented a dramatic narrative that portrayed life in the ancient Mayan city.","Through a series of dynamics, Professor Ju?rez presented a dramatic narrative that portrayed life in the ancient Mayan city.","Through a series of factors, Professor Ju?rez presented a dramatic narrative that portrayed life in the ancient Mayan city.","Through a series of tangents, Professor Ju?rez presented a dramatic narrative that portrayed life in the ancient Mayan city.",2004,5,9,4,1
77,d,"Edmund White is a _____ author: he has written novels, essays, short stories, a travel book, and a biography.","Edmund White is a demonstrative author: he has written novels, essays, short stories, a travel book, and a biography.","Edmund White is a nebulous author: he has written novels, essays, short stories, a travel book, and a biography.","Edmund White is a meticulous author: he has written novels, essays, short stories, a travel book, and a biography.","Edmund White is a versatile author: he has written novels, essays, short stories, a travel book, and a biography.","Edmund White is a metaphoric author: he has written novels, essays, short stories, a travel book, and a biography.",2005,4,1,e,1
78,e,"The archaeologist believed the coin she unearthed was _____ evidence, unquestionable proof that the site dated to the fourth century.","The archaeologist believed the coin she unearthed was immaterial evidence, unquestionable proof that the site dated to the fourth century.","The archaeologist believed the coin she unearthed was potential evidence, unquestionable proof that the site dated to the fourth century.","The archaeologist believed the coin she unearthed was incriminating evidence, unquestionable proof that the site dated to the fourth century.","The archaeologist believed the coin she unearthed was nominal evidence, unquestionable proof that the site dated to the fourth century.","The archaeologist believed the coin she unearthed was indisputable evidence, unquestionable proof that the site dated to the fourth century.",2005,4,2,m,1
79,c,"Although the rigors of ballet dancing are primarily _____, this art is also emotionally and spiritually _____.","Although the rigors of ballet dancing are primarily illusory, this art is also emotionally and spiritually taxing.","Although the rigors of ballet dancing are primarily exaggerated, this art is also emotionally and spiritually balanced.","Although the rigors of ballet dancing are primarily physical, this art is also emotionally and spiritually demanding.","Although the rigors of ballet dancing are primarily appealing, this art is also emotionally and spiritually indulgent.","Although the rigors of ballet dancing are primarily strenuous, this art is also emotionally and spiritually dubious.",2005,4,3,m,2
80,b,Studies of _____ among turtles are sometimes _____ by the fact that the subjects live so long that researchers retire before the studies can be completed.,Studies of extinction among turtles are sometimes enhanced by the fact that the subjects live so long that researchers retire before the studies can be completed.,Studies of longevity among turtles are sometimes hampered by the fact that the subjects live so long that researchers retire before the studies can be completed.,Studies of behavior among turtles are sometimes belied by the fact that the subjects live so long that researchers retire before the studies can be completed.,Studies of mortality among turtles are sometimes bolstered by the fact that the subjects live so long that researchers retire before the studies can be completed.,Studies of reproduction among turtles are sometimes confirmed by the fact that the subjects live so long that researchers retire before the studies can be completed.,2005,4,4,m,2
81,a,"A model of _____ behavior, Cunningham never ate or drank to excess.","A model of temperate behavior, Cunningham never ate or drank to excess.","A model of laconic behavior, Cunningham never ate or drank to excess.","A model of duplicitous behavior, Cunningham never ate or drank to excess.","A model of aesthetic behavior, Cunningham never ate or drank to excess.","A model of voluble behavior, Cunningham never ate or drank to excess.",2005,4,5,m,1
82,a,"The entrepreneur had a well-deserved reputation for _____, having accurately anticipated many changes unforeseen by established business leaders.","The entrepreneur had a well-deserved reputation for prescience, having accurately anticipated many changes unforeseen by established business leaders.","The entrepreneur had a well-deserved reputation for sincerity, having accurately anticipated many changes unforeseen by established business leaders.","The entrepreneur had a well-deserved reputation for avarice, having accurately anticipated many changes unforeseen by established business leaders.","The entrepreneur had a well-deserved reputation for complicity, having accurately anticipated many changes unforeseen by established business leaders.","The entrepreneur had a well-deserved reputation for mendacity, having accurately anticipated many changes unforeseen by established business leaders.",2005,4,6,m,1
83,e,"Scientists require observable data, not _____, to support a hypothesis; sound science is grounded in _____ results rather than speculation.","Scientists require observable data, not induction, to support a hypothesis; sound science is grounded in diminutive results rather than speculation.","Scientists require observable data, not experimentation, to support a hypothesis; sound science is grounded in pragmatic results rather than speculation.","Scientists require observable data, not intuition, to support a hypothesis; sound science is grounded in fiscal results rather than speculation.","Scientists require observable data, not bombast, to support a hypothesis; sound science is grounded in theoretical results rather than speculation.","Scientists require observable data, not conjecture, to support a hypothesis; sound science is grounded in empirical results rather than speculation.",2005,4,7,h,2
84,c,"The director complained that the sitcom’s theme song was downright _____, having no more pep and vigor than a _____.","The director complained that the sitcom’s theme song was downright tedious, having no more pep and vigor than a jingle.","The director complained that the sitcom’s theme song was downright inchoate, having no more pep and vigor than a lullaby.","The director complained that the sitcom’s theme song was downright lugubrious, having no more pep and vigor than a dirge.","The director complained that the sitcom’s theme song was downright facetious, having no more pep and vigor than a ballad.","The director complained that the sitcom’s theme song was downright sprightly, having no more pep and vigor than a eulogy.",2005,4,8,h,2
85,b,The success of Notes of a Native Son _____ author James Baldwin as one of the most _____ essayists of his time.,The success of Notes of a Native Son buoyed author James Baldwin as one of the most irrelevant essayists of his time.,The success of Notes of a Native Son established author James Baldwin as one of the most prominent essayists of his time.,The success of Notes of a Native Son surrendered author James Baldwin as one of the most prolific essayists of his time.,The success of Notes of a Native Son decried author James Baldwin as one of the most cynical essayists of his time.,The success of Notes of a Native Son categorized author James Baldwin as one of the most mundane essayists of his time.,2005,7,1,e,2
86,d,"In many parts of the world, people use rice as a central rather than a _____ part of their daily diets.","In many parts of the world, people use rice as a central rather than a pivotal part of their daily diets.","In many parts of the world, people use rice as a central rather than a ritualistic part of their daily diets.","In many parts of the world, people use rice as a central rather than a salient part of their daily diets.","In many parts of the world, people use rice as a central rather than a supplementary part of their daily diets.","In many parts of the world, people use rice as a central rather than a solemn part of their daily diets.",2005,7,2,e,1
87,b,Victor gained a reputation for being a _____ because he constantly bullied other children.,Victor gained a reputation for being a bungler because he constantly bullied other children.,Victor gained a reputation for being a ruffian because he constantly bullied other children.,Victor gained a reputation for being a stickler because he constantly bullied other children.,Victor gained a reputation for being a daredevil because he constantly bullied other children.,Victor gained a reputation for being a naysayer because he constantly bullied other children.,2005,7,3,m,1
88,c,"Paradoxically, the senator was both a _____ and _____: she publicly defended the rights and wisdom of the people, but she often spoke with a disdainful air of superiority.","Paradoxically, the senator was both a demagogue and a maverick: she publicly defended the rights and wisdom of the people, but she often spoke with a disdainful air of superiority.","Paradoxically, the senator was both a conservative and an anarchist: she publicly defended the rights and wisdom of the people, but she often spoke with a disdainful air of superiority.","Paradoxically, the senator was both a populist and an elitist: she publicly defended the rights and wisdom of the people, but she often spoke with a disdainful air of superiority.","Paradoxically, the senator was both a moderate and a reactionary: she publicly defended the rights and wisdom of the people, but she often spoke with a disdainful air of superiority.","Paradoxically, the senator was both a partisan and a snob: she publicly defended the rights and wisdom of the people, but she often spoke with a disdainful air of superiority.",2005,7,4,m,2
89,a,"The geologist speculated that eons ago, before the area was _____, the present-day island was actually a hilltop in a vast forest.","The geologist speculated that eons ago, before the area was inundated, the present-day island was actually a hilltop in a vast forest.","The geologist speculated that eons ago, before the area was situated, the present-day island was actually a hilltop in a vast forest.","The geologist speculated that eons ago, before the area was rejuvenated, the present-day island was actually a hilltop in a vast forest.","The geologist speculated that eons ago, before the area was supplanted, the present-day island was actually a hilltop in a vast forest.","The geologist speculated that eons ago, before the area was excavated, the present-day island was actually a hilltop in a vast forest.",2005,7,5,h,1
90,d,"The new vaccine is _____ preventing certain forms of pneumonia and should, therefore, be more widely _____ in order to prevent outbreaks of the disease.","The new vaccine is required for preventing certain forms of pneumonia and should, therefore, be more widely constrained in order to prevent outbreaks of the disease.","The new vaccine is unsuccessful in preventing certain forms of pneumonia and should, therefore, be more widely distributed in order to prevent outbreaks of the disease.","The new vaccine is instrumental in preventing certain forms of pneumonia and should, therefore, be more widely reconstituted in order to prevent outbreaks of the disease.","The new vaccine is effective in preventing certain forms of pneumonia and should, therefore, be more widely administered in order to prevent outbreaks of the disease.","The new vaccine is unverified for preventing certain forms of pneumonia and should, therefore, be more widely disseminated in order to prevent outbreaks of the disease.",2005,9,1,e,2
91,b,"In an effort to _____ the _____ theater, the troupe members contributed thousands of dollars to keep the playhouse operating.","In an effort to qualify the obsolete theater, the troupe members contributed thousands of dollars to keep the playhouse operating.","In an effort to salvage the floundering theater, the troupe members contributed thousands of dollars to keep the playhouse operating.","In an effort to exacerbate the defunct theater, the troupe members contributed thousands of dollars to keep the playhouse operating.","In an effort to revitalize the prosperous theater, the troupe members contributed thousands of dollars to keep the playhouse operating.","In an effort to commandeer the lucrative theater, the troupe members contributed thousands of dollars to keep the playhouse operating.",2005,9,2,m,2
92,a,"In her writings about language, the poet Gloria Anzald?a celebrates the _____ of English and Spanish dialects spoken by Mexican Americans, arguing that such _____ lends an empowering flexibility to expression.","In her writings about language, the poet Gloria Anzald?a celebrates the multiplicity of English and Spanish dialects spoken by Mexican Americans, arguing that such variety lends an empowering flexibility to expression.","In her writings about language, the poet Gloria Anzald?a celebrates the proliferation of English and Spanish dialects spoken by Mexican Americans, arguing that such moderation lends an empowering flexibility to expression.","In her writings about language, the poet Gloria Anzald?a celebrates the ambivalence of English and Spanish dialects spoken by Mexican Americans, arguing that such focus lends an empowering flexibility to expression.","In her writings about language, the poet Gloria Anzald?a celebrates the dearth of English and Spanish dialects spoken by Mexican Americans, arguing that such depletion lends an empowering flexibility to expression.","In her writings about language, the poet Gloria Anzald?a celebrates the abridgment of English and Spanish dialects spoken by Mexican Americans, arguing that such imitation lends an empowering flexibility to expression.",2005,9,3,m,2
93,c,The mountain road was distinctly _____: it twisted back and forth along the contours of the hillside.,The mountain road was distinctly panoramic: it twisted back and forth along the contours of the hillside.,The mountain road was distinctly precipitous: it twisted back and forth along the contours of the hillside.,The mountain road was distinctly serpentine: it twisted back and forth along the contours of the hillside.,The mountain road was distinctly circumscribed: it twisted back and forth along the contours of the hillside.,The mountain road was distinctly retrograde: it twisted back and forth along the contours of the hillside.,2005,9,4,m,1
94,b,"At the family reunion Hiroko found her cousin charming and gentle, the _____ of his formerly rude and overbearing self.","At the family reunion Hiroko found her cousin charming and gentle, the remnant of his formerly rude and overbearing self.","At the family reunion Hiroko found her cousin charming and gentle, the antithesis of his formerly rude and overbearing self.","At the family reunion Hiroko found her cousin charming and gentle, the consequence of his formerly rude and overbearing self.","At the family reunion Hiroko found her cousin charming and gentle, the extremity of his formerly rude and overbearing self.","At the family reunion Hiroko found her cousin charming and gentle, the mainstay of his formerly rude and overbearing self.",2005,9,5,h,1
95,c,"His conduct at the state dinner was a cavalcade of blunders, one _____ following another until the evening ended.","His conduct at the state dinner was a cavalcade of blunders, one query following another until the evening ended.","His conduct at the state dinner was a cavalcade of blunders, one gibe following another until the evening ended.","His conduct at the state dinner was a cavalcade of blunders, one gaffe following another until the evening ended.","His conduct at the state dinner was a cavalcade of blunders, one tryst following another until the evening ended.","His conduct at the state dinner was a cavalcade of blunders, one tribute following another until the evening ended.",2005,9,6,h,1
96,e,"Scientific discoveries are often thought of as the result of _____ effort, but many discoveries have, in fact, arisen from _____ or a mistake.","Scientific discoveries are often thought of as the result of conscientious effort, but many discoveries have, in fact, arisen from a method or a mistake.","Scientific discoveries are often thought of as the result of incidental effort, but many discoveries have, in fact, arisen from a mishap or a mistake.","Scientific discoveries are often thought of as the result of collaborative effort, but many discoveries have, in fact, arisen from a design or a mistake.","Scientific discoveries are often thought of as the result of persistent effort, but many discoveries have, in fact, arisen from an extension or a mistake.","Scientific discoveries are often thought of as the result of systematic effort, but many discoveries have, in fact, arisen from an accident or a mistake.",2007,4,1,1,2
97,c,"Nations that share a border are, by definition, _____.","Nations that share a border are, by definition, allied.","Nations that share a border are, by definition, partisan.","Nations that share a border are, by definition, contiguous.","Nations that share a border are, by definition, pluralistic.","Nations that share a border are, by definition, sovereign.",2007,4,2,3,1
98,b,"Much of this author’s work, unfortunately, is _____, with _____ chapter often immediately following a sublime one.","Much of this author’s work, unfortunately, is mystical, with a superior chapter often immediately following a sublime one.","Much of this author’s work, unfortunately, is uneven, with a mediocre chapter often immediately following a sublime one.","Much of this author’s work, unfortunately, is predictable, with an eloquent chapter often immediately following a sublime one.","Much of this author’s work, unfortunately, is enthralling, with a vapid chapter often immediately following a sublime one.","Much of this author’s work, unfortunately, is flippant, with an intelligible chapter often immediately following a sublime one.",2007,4,3,3,2
99,e,"In young children, some brain cells have a _____ that enables them to take over the functions of damaged or missing brain cells.","In young children, some brain cells have a fragility that enables them to take over the functions of damaged or missing brain cells.","In young children, some brain cells have a reminiscence that enables them to take over the functions of damaged or missing brain cells.","In young children, some brain cells have a perniciousness that enables them to take over the functions of damaged or missing brain cells.","In young children, some brain cells have a whimsicality that enables them to take over the functions of damaged or missing brain cells.","In young children, some brain cells have a plasticity that enables them to take over the functions of damaged or missing brain cells.",2007,4,4,5,1
